Geography,Timeframe,"Current Year Week Ending",Type,"ASP Current Year","Total Bulk and Bags Units","4046 Units","4225 Units","4770 Units","TotalBagged Units","SmlBagged Units","LrgBagged Units","X-LrgBagged Units"
Nashville,Weekly,"2019-05-26 00:00:00","Conventional ",1.070000000,288761.18,121351.67,7467.88,462.36,159479.27,116124.03,43347.36,7.88
"New Orleans/Mobile",Weekly,"2019-05-26 00:00:00","Conventional ",0.950000000,400462.72,205538.36,18546.69,984.45,175393.22,126673.71,44752.84,3966.67
"New York",Weekly,"2019-05-26 00:00:00","Conventional ",1.620000000,1849421.25,50932.68,1209224.61,14896.88,574367.08,488279.82,83041.18,3046.08
Northeast,Weekly,"2019-05-26 00:00:00","Conventional ",1.500000000,5514940.01,259490.38,3588481.42,24865.96,1642102.25,1276789.77,346860.55,18451.93
"Northern New England",Weekly,"2019-05-26 00:00:00","Conventional ",1.500000000,557270.74,10387.36,479237.74,324.67,67320.97,34313.14,32334.50,673.33
Orlando,Weekly,"2019-05-26 00:00:00","Conventional ",1.290000000,489170.39,211365.70,14129.45,4284.42,259390.82,113103.12,146284.37,3.33
Philadelphia,Weekly,"2019-05-26 00:00:00","Conventional ",1.450000000,559173.68,32804.22,292256.20,2594.87,231518.39,193370.67,34409.95,3737.77
Phoenix/Tucson,Weekly,"2019-05-26 00:00:00","Conventional ",1.000000000,1269744.28,303730.05,323811.06,17704.58,624498.59,209102.04,415386.55,10.00
Pittsburgh,Weekly,"2019-05-26 00:00:00","Conventional ",1.280000000,156553.96,38152.12,19254.03,1801.18,97346.63,39096.65,58096.65,153.33
Plains,Weekly,"2019-05-26 00:00:00","Conventional ",1.310000000,2235696.74,893849.72,511140.09,26183.34,804523.59,686450.48,113947.65,4125.46
Portland,Weekly,"2019-05-26 00:00:00","Conventional ",1.440000000,678599.72,80286.44,223832.19,16147.03,358334.06,155008.45,196091.42,7234.19
Raleigh/Greensboro,Weekly,"2019-05-26 00:00:00","Conventional ",1.340000000,404795.20,185926.04,64553.32,7493.99,146821.85,127736.27,19085.58,0.00
Richmond/Norfolk,Weekly,"2019-05-26 00:00:00","Conventional ",1.300000000,316320.52,82739.79,74725.66,2477.80,156377.27,121530.64,29596.63,5250.00
Roanoke,Weekly,"2019-05-26 00:00:00","Conventional ",1.260000000,190386.13,53311.62,32070.90,209.51,104794.10,72823.18,30014.25,1956.67
Sacramento,Weekly,"2019-05-26 00:00:00","Conventional ",1.610000000,457028.47,129704.24,238239.36,2117.11,86967.76,70340.88,14009.86,2617.02
"San Diego",Weekly,"2019-05-26 00:00:00","Conventional ",1.520000000,481447.38,95784.71,145294.91,19858.56,220509.20,182029.85,37938.80,540.55
"San Francisco",Weekly,"2019-05-26 00:00:00","Conventional ",1.790000000,805282.90,182700.94,446707.09,8444.91,167429.96,124281.99,36481.96,6666.01
Seattle,Weekly,"2019-05-26 00:00:00","Conventional ",1.660000000,573092.97,103162.72,170231.78,1184.81,298513.66,110995.97,187136.48,381.21
"South Carolina",Weekly,"2019-05-26 00:00:00","Conventional ",1.320000000,481325.99,218684.04,52210.26,3098.51,207333.18,150506.95,51494.78,5331.45
"South Central",Weekly,"2019-05-26 00:00:00","Conventional ",1.020000000,7006335.08,2941634.15,997006.96,145883.58,2921810.39,1909944.08,1005436.07,6430.24
Southeast,Weekly,"2019-05-26 00:00:00","Conventional ",1.250000000,5234713.07,2273053.78,241498.72,23472.07,2696688.50,1343506.15,1309324.49,43857.86
Spokane,Weekly,"2019-05-26 00:00:00","Conventional ",1.520000000,101527.59,26300.35,28167.32,69.31,46990.61,17701.53,29220.11,68.97
"St. Louis",Weekly,"2019-05-26 00:00:00","Conventional ",1.130000000,256311.30,117418.22,9237.59,743.38,128912.11,117011.11,11287.11,613.89
Syracuse,Weekly,"2019-05-26 00:00:00","Conventional ",1.370000000,94898.23,3685.53,57844.71,127.00,33240.99,17955.37,14318.95,966.67
Tampa,Weekly,"2019-05-26 00:00:00","Conventional ",1.220000000,575262.96,229623.96,17544.57,2357.67,325736.76,127229.13,198494.30,13.33
"Total U.S.",Weekly,"2019-05-26 00:00:00","Conventional ",1.310000000,40514870.62,11623029.55,10706872.74,824382.07,17360586.26,10942409.29,6110523.23,307653.74
West,Weekly,"2019-05-26 00:00:00","Conventional ",1.240000000,6965143.16,1773510.30,1621752.88,131427.64,3438452.34,1410115.02,2010695.41,17641.91
"West Tex/New Mexico",Weekly,"2019-05-26 00:00:00","Conventional ",1.180000000,890085.56,407579.65,109794.21,78585.53,294126.17,208343.38,85736.35,46.44
Albany,Weekly,"2019-05-26 00:00:00",Organic,1.840000000,3056.97,66.41,552.21,0.00,2438.35,2438.35,0.00,0.00
Atlanta,Weekly,"2019-05-26 00:00:00",Organic,1.740000000,19308.79,262.79,2997.49,0.00,16048.51,9156.25,6892.26,0.00
Baltimore/Washington,Weekly,"2019-05-26 00:00:00",Organic,1.590000000,38270.04,370.69,5596.31,25.54,32277.50,31588.53,688.97,0.00
Boise,Weekly,"2019-05-26 00:00:00",Organic,2.310000000,3038.31,0.00,916.54,0.00,2121.77,904.79,1216.98,0.00
Boston,Weekly,"2019-05-26 00:00:00",Organic,1.800000000,30915.08,93.85,2249.82,0.00,28571.41,11917.73,16653.68,0.00
Buffalo/Rochester,Weekly,"2019-05-26 00:00:00",Organic,1.510000000,7998.01,451.21,199.51,0.00,7347.29,2283.06,5064.23,0.00
California,Weekly,"2019-05-26 00:00:00",Organic,2.030000000,230991.16,42752.54,72152.11,0.00,116086.51,115475.92,610.59,0.00
Charlotte,Weekly,"2019-05-26 00:00:00",Organic,1.800000000,18391.89,41.41,5243.91,81.02,13025.55,13025.55,0.00,0.00
Chicago,Weekly,"2019-05-26 00:00:00",Organic,1.880000000,46056.73,344.53,7625.50,0.00,38086.70,37463.21,623.49,0.00
Cincinnati/Dayton,Weekly,"2019-05-26 00:00:00",Organic,1.620000000,22117.36,102.04,2644.69,0.00,19370.63,13033.00,6337.63,0.00
Columbus,Weekly,"2019-05-26 00:00:00",Organic,1.530000000,16002.72,542.76,1130.64,0.00,14329.32,11727.81,2601.51,0.00
"Dallas/Ft. Worth",Weekly,"2019-05-26 00:00:00",Organic,1.460000000,29542.69,5196.81,651.65,608.81,23085.42,12825.42,10260.00,0.00
Denver,Weekly,"2019-05-26 00:00:00",Organic,1.720000000,25207.26,6480.23,1538.79,10.29,17177.95,7602.77,9575.18,0.00
Detroit,Weekly,"2019-05-26 00:00:00",Organic,1.840000000,18610.77,429.92,2389.53,0.00,15604.12,9692.58,5911.54,0.00
"Grand Rapids",Weekly,"2019-05-26 00:00:00",Organic,1.490000000,12880.30,33.95,3554.00,0.00,9292.35,9261.19,31.16,0.00
"Great Lakes",Weekly,"2019-05-26 00:00:00",Organic,1.650000000,229792.38,4726.55,26198.73,0.00,198513.15,170320.09,28193.06,0.00
Harrisburg/Scranton,Weekly,"2019-05-26 00:00:00",Organic,1.400000000,11049.28,201.90,292.10,0.00,10555.28,10128.48,426.80,0.00
Hartford/Springfield,Weekly,"2019-05-26 00:00:00",Organic,2.330000000,12272.82,408.52,5294.59,0.00,6569.71,6569.71,0.00,0.00
Houston,Weekly,"2019-05-26 00:00:00",Organic,2.020000000,30865.45,6036.20,81.32,0.00,24747.93,24607.93,140.00,0.00
Indianapolis,Weekly,"2019-05-26 00:00:00",Organic,1.550000000,14776.31,220.90,1062.03,0.00,13493.38,10066.58,3426.80,0.00
Jacksonville,Weekly,"2019-05-26 00:00:00",Organic,1.630000000,836.03,92.92,273.16,1.32,468.63,468.63,0.00,0.00
"Las Vegas",Weekly,"2019-05-26 00:00:00",Organic,2.000000000,10359.28,1348.20,1886.94,0.00,7124.14,7113.66,10.48,0.00
"Los Angeles",Weekly,"2019-05-26 00:00:00",Organic,1.940000000,109868.58,16979.31,33581.78,0.00,59307.49,58943.10,364.39,0.00
Louisville,Weekly,"2019-05-26 00:00:00",Organic,1.860000000,3859.89,12.72,774.42,0.00,3072.75,1791.00,1281.75,0.00
"Miami/Ft. Lauderdale",Weekly,"2019-05-26 00:00:00",Organic,1.300000000,3344.70,721.63,5.85,0.00,2617.22,2617.22,0.00,0.00
Midsouth,Weekly,"2019-05-26 00:00:00",Organic,1.710000000,176214.28,1055.37,36020.85,263.48,138874.58,125132.08,13742.50,0.00
Nashville,Weekly,"2019-05-26 00:00:00",Organic,1.530000000,9340.03,69.37,1134.66,0.00,8136.00,5860.11,2275.89,0.00
"New Orleans/Mobile",Weekly,"2019-05-26 00:00:00",Organic,1.050000000,9078.61,490.31,1.00,0.00,8587.30,8257.77,329.53,0.00
"New York",Weekly,"2019-05-26 00:00:00",Organic,1.920000000,88627.70,14735.59,15701.90,59.23,58130.98,57487.30,643.68,0.00
Northeast,Weekly,"2019-05-26 00:00:00",Organic,1.800000000,235964.05,22024.19,35270.05,51.42,178618.39,139598.99,39019.40,0.00
"Northern New England",Weekly,"2019-05-26 00:00:00",Organic,1.660000000,28856.51,344.83,5569.87,0.00,22941.81,13294.29,9647.52,0.00
Orlando,Weekly,"2019-05-26 00:00:00",Organic,1.210000000,2490.34,423.09,6.52,0.00,2060.73,2054.06,6.67,0.00
Philadelphia,Weekly,"2019-05-26 00:00:00",Organic,1.600000000,21253.19,2085.48,2948.56,0.00,16219.15,15622.27,596.88,0.00
Phoenix/Tucson,Weekly,"2019-05-26 00:00:00",Organic,1.960000000,12400.46,2101.27,3060.88,0.00,7238.31,6954.02,284.29,0.00
Pittsburgh,Weekly,"2019-05-26 00:00:00",Organic,1.700000000,7946.87,2190.24,21.34,0.00,5735.29,5735.29,0.00,0.00
Plains,Weekly,"2019-05-26 00:00:00",Organic,1.240000000,111586.13,6102.85,4657.40,19.59,100806.29,94354.36,6451.93,0.00
Portland,Weekly,"2019-05-26 00:00:00",Organic,2.220000000,27737.31,666.37,6731.98,0.00,20338.96,2779.71,17458.27,100.98
Raleigh/Greensboro,Weekly,"2019-05-26 00:00:00",Organic,2.160000000,17228.02,107.79,5809.99,54.74,11255.50,11255.50,0.00,0.00
Richmond/Norfolk,Weekly,"2019-05-26 00:00:00",Organic,1.370000000,16961.85,30.27,2536.24,8.83,14386.51,12998.33,1388.18,0.00
Roanoke,Weekly,"2019-05-26 00:00:00",Organic,1.740000000,7856.73,28.59,1303.76,0.00,6524.38,4719.95,1804.43,0.00
Sacramento,Weekly,"2019-05-26 00:00:00",Organic,1.970000000,11884.01,2507.53,3445.11,0.00,5931.37,5931.37,0.00,0.00
"San Diego",Weekly,"2019-05-26 00:00:00",Organic,2.040000000,25481.42,3752.30,12305.42,0.00,9423.70,9262.21,161.49,0.00
"San Francisco",Weekly,"2019-05-26 00:00:00",Organic,2.180000000,42968.40,13238.26,7995.19,0.00,21734.95,21734.95,0.00,0.00
Seattle,Weekly,"2019-05-26 00:00:00",Organic,1.870000000,86825.65,1404.37,21975.77,207.42,63238.09,4824.25,58341.37,72.47
"South Carolina",Weekly,"2019-05-26 00:00:00",Organic,1.980000000,17429.04,210.12,4509.17,32.58,12677.17,10385.30,2291.87,0.00
"South Central",Weekly,"2019-05-26 00:00:00",Organic,1.630000000,156844.70,22033.29,4379.88,3167.68,127263.85,98348.65,28915.20,0.00
Southeast,Weekly,"2019-05-26 00:00:00",Organic,1.640000000,73110.71,2662.46,12098.64,37.40,58312.21,45008.64,13303.57,0.00
Spokane,Weekly,"2019-05-26 00:00:00",Organic,2.240000000,4284.98,64.38,1889.78,0.00,2330.82,547.18,1783.64,0.00
"St. Louis",Weekly,"2019-05-26 00:00:00",Organic,1.590000000,12064.56,557.79,1814.64,0.00,9692.13,9692.13,0.00,0.00
Syracuse,Weekly,"2019-05-26 00:00:00",Organic,1.520000000,4430.95,93.46,280.39,0.00,4057.10,1457.79,2599.31,0.00
Tampa,Weekly,"2019-05-26 00:00:00",Organic,1.250000000,1321.58,296.94,3.00,0.00,1021.64,1021.64,0.00,0.00
"Total U.S.",Weekly,"2019-05-26 00:00:00",Organic,1.760000000,1467564.89,124635.45,246675.94,4532.34,1091367.21,853477.96,237727.68,161.57
West,Weekly,"2019-05-26 00:00:00",Organic,1.950000000,253061.43,23278.19,55898.29,992.78,172892.17,65239.21,107491.39,161.57
"West Tex/New Mexico",Weekly,"2019-05-26 00:00:00",Organic,1.900000000,13669.46,1680.06,1338.66,1804.28,8846.46,7896.86,949.60,0.00
Albany,Weekly,"2019-06-02 00:00:00","Conventional ",1.520000000,117969.06,3396.41,98544.23,281.00,15747.42,7924.36,4439.72,3383.34
Atlanta,Weekly,"2019-06-02 00:00:00","Conventional ",1.040000000,761008.13,319390.94,28981.01,3366.78,409269.40,295909.19,99612.63,13747.58
Baltimore/Washington,Weekly,"2019-06-02 00:00:00","Conventional ",1.460000000,979725.44,130931.51,519480.98,10390.33,318922.62,206736.34,96696.28,15490.00
Boise,Weekly,"2019-06-02 00:00:00","Conventional ",1.250000000,123689.26,38252.59,11544.25,9011.32,64881.10,21195.19,42725.99,959.92
Boston,Weekly,"2019-06-02 00:00:00","Conventional ",1.580000000,703801.40,10051.95,547913.45,3006.05,142829.95,131810.18,6486.44,4533.33
Buffalo/Rochester,Weekly,"2019-06-02 00:00:00","Conventional ",1.290000000,186481.83,7455.23,85918.65,345.26,92762.69,73427.52,13775.17,5560.00
California,Weekly,"2019-06-02 00:00:00","Conventional ",1.460000000,6238018.83,1607429.09,1655386.85,242003.58,2733199.31,1792696.36,460803.66,479699.29
Charlotte,Weekly,"2019-06-02 00:00:00","Conventional ",1.270000000,318215.84,134849.30,60765.63,6646.43,115954.48,106272.70,9681.78,0.00
Chicago,Weekly,"2019-06-02 00:00:00","Conventional ",1.530000000,755062.08,111844.54,283532.55,36825.83,322859.16,144503.73,175538.17,2817.26
Cincinnati/Dayton,Weekly,"2019-06-02 00:00:00","Conventional ",1.010000000,400113.10,89767.77,32056.92,9001.20,269287.21,240137.93,17484.67,11664.61
Columbus,Weekly,"2019-06-02 00:00:00","Conventional ",0.970000000,265512.05,77298.99,36207.61,2368.42,149637.03,106436.10,37436.87,5764.06
"Dallas/Ft. Worth",Weekly,"2019-06-02 00:00:00","Conventional ",0.950000000,1589504.02,535192.18,306226.65,21761.36,726323.83,390388.82,335911.52,23.49
Denver,Weekly,"2019-06-02 00:00:00","Conventional ",1.030000000,1059551.20,202600.09,180681.59,7652.55,668616.97,163618.04,503886.70,1112.23
Detroit,Weekly,"2019-06-02 00:00:00","Conventional ",1.030000000,679306.97,177763.38,61542.37,90001.61,349999.61,297729.42,45278.48,6991.71
"Grand Rapids",Weekly,"2019-06-02 00:00:00","Conventional ",1.470000000,217632.67,5026.47,82675.69,86917.10,43013.41,27009.98,4496.52,11506.91
"Great Lakes",Weekly,"2019-06-02 00:00:00","Conventional ",1.160000000,4793215.59,900214.58,1059327.48,382341.53,2451332.00,1611468.51,768567.31,71296.18
Harrisburg/Scranton,Weekly,"2019-06-02 00:00:00","Conventional ",1.240000000,361578.76,60292.51,182958.12,512.24,117815.89,93970.26,10808.96,13036.67
Hartford/Springfield,Weekly,"2019-06-02 00:00:00","Conventional ",1.530000000,383262.82,6867.25,313137.11,847.93,62410.53,53807.57,5559.63,3043.33
Houston,Weekly,"2019-06-02 00:00:00","Conventional ",0.960000000,1387052.69,410421.27,206246.40,5123.23,765261.79,183777.89,581407.93,75.97
Indianapolis,Weekly,"2019-06-02 00:00:00","Conventional ",1.000000000,304452.30,67392.15,67558.36,5511.51,163990.28,135633.79,25515.37,2841.12
Jacksonville,Weekly,"2019-06-02 00:00:00","Conventional ",1.340000000,216464.68,81652.91,7126.78,1019.42,126665.57,39637.70,87021.20,6.67
"Las Vegas",Weekly,"2019-06-02 00:00:00","Conventional ",1.040000000,437961.94,76598.19,121866.62,8119.93,231377.20,84519.42,142251.72,4606.06
"Los Angeles",Weekly,"2019-06-02 00:00:00","Conventional ",1.290000000,3130543.18,819844.77,332516.92,174215.57,1803965.92,1142700.60,253257.41,408007.91
Louisville,Weekly,"2019-06-02 00:00:00","Conventional ",1.000000000,150007.62,32915.45,16016.88,272.87,100802.42,74958.07,25844.35,0.00
"Miami/Ft. Lauderdale",Weekly,"2019-06-02 00:00:00","Conventional ",1.380000000,926564.85,318346.08,26757.15,6206.72,575254.90,176938.11,396673.46,1643.33
Midsouth,Weekly,"2019-06-02 00:00:00","Conventional ",1.190000000,4281087.10,1358858.43,1043109.63,34884.29,1844234.75,1444106.56,346751.61,53376.58
Nashville,Weekly,"2019-06-02 00:00:00","Conventional ",1.040000000,289215.52,118021.11,6550.22,464.58,164179.61,132062.27,32095.14,22.20
"New Orleans/Mobile",Weekly,"2019-06-02 00:00:00","Conventional ",1.060000000,337380.87,185488.30,19396.92,1094.00,131401.65,83864.97,42463.35,5073.33
"New York",Weekly,"2019-06-02 00:00:00","Conventional ",1.640000000,1755376.07,48850.66,1182920.45,17352.41,506252.55,375783.70,123876.17,6592.68
Northeast,Weekly,"2019-06-02 00:00:00","Conventional ",1.510000000,5312298.17,249944.61,3551630.41,28353.07,1482370.08,1091015.05,327143.50,64211.53
"Northern New England",Weekly,"2019-06-02 00:00:00","Conventional ",1.530000000,541493.21,8459.71,469902.89,429.30,62701.31,31592.71,26798.60,4310.00
Orlando,Weekly,"2019-06-02 00:00:00","Conventional ",1.290000000,478456.99,197086.55,12516.58,5449.47,263404.39,114267.28,149130.44,6.67
Philadelphia,Weekly,"2019-06-02 00:00:00","Conventional ",1.390000000,547559.50,35117.89,307400.72,2849.96,202190.93,151075.89,41487.86,9627.18
Phoenix/Tucson,Weekly,"2019-06-02 00:00:00","Conventional ",0.990000000,1134921.88,315100.94,251069.23,14409.08,554342.63,235642.25,308838.33,9862.05
Pittsburgh,Weekly,"2019-06-02 00:00:00","Conventional ",1.250000000,143665.06,33461.75,15347.75,2026.01,92829.55,33861.94,58267.61,700.00
Plains,Weekly,"2019-06-02 00:00:00","Conventional ",1.250000000,2270273.14,859645.82,535499.15,27641.58,847486.59,693540.68,129684.18,24261.73
Portland,Weekly,"2019-06-02 00:00:00","Conventional ",1.170000000,887884.53,65529.77,286188.31,15607.86,520558.59,182543.83,332867.54,5147.22
Raleigh/Greensboro,Weekly,"2019-06-02 00:00:00","Conventional ",1.170000000,431238.59,211154.72,68658.09,7419.32,144006.46,125707.24,18295.89,3.33
Richmond/Norfolk,Weekly,"2019-06-02 00:00:00","Conventional ",1.050000000,354771.25,113179.21,63957.81,2393.86,175240.37,137512.63,23241.07,14486.67
Roanoke,Weekly,"2019-06-02 00:00:00","Conventional ",0.990000000,246111.92,70858.34,29212.82,144.32,145896.44,114985.91,24207.20,6703.33
Sacramento,Weekly,"2019-06-02 00:00:00","Conventional ",1.640000000,472605.62,125637.51,250404.68,3387.86,93175.57,72927.47,15646.83,4601.27
"San Diego",Weekly,"2019-06-02 00:00:00","Conventional ",1.370000000,540896.57,104207.92,127656.50,26513.63,282518.52,191827.09,90082.83,608.60
"San Francisco",Weekly,"2019-06-02 00:00:00","Conventional ",1.880000000,807838.63,174943.77,426037.40,10135.67,196721.79,137172.86,50313.62,9235.31
Seattle,Weekly,"2019-06-02 00:00:00","Conventional ",1.370000000,732749.50,92290.71,215767.12,1475.08,423216.59,118004.42,304779.90,432.27
"South Carolina",Weekly,"2019-06-02 00:00:00","Conventional ",1.240000000,476969.68,205647.33,48060.62,3109.29,220152.44,161968.82,51817.43,6366.19
"South Central",Weekly,"2019-06-02 00:00:00","Conventional ",1.010000000,7189293.87,2626097.55,1186069.79,138507.65,3238618.88,1571371.60,1605612.98,61634.30
Southeast,Weekly,"2019-06-02 00:00:00","Conventional ",1.210000000,5187059.17,2133707.08,212304.34,28163.02,2812884.73,1426740.83,1332135.94,54007.96
Spokane,Weekly,"2019-06-02 00:00:00","Conventional ",1.260000000,123411.92,23464.32,34815.93,65.27,65066.40,15671.80,49359.49,35.11
"St. Louis",Weekly,"2019-06-02 00:00:00","Conventional ",1.220000000,217397.98,94548.79,8979.93,625.95,113243.31,96931.35,14772.52,1539.44
Syracuse,Weekly,"2019-06-02 00:00:00","Conventional ",1.370000000,82860.01,2530.77,49463.76,128.00,30737.48,22480.84,5023.31,3233.33
Tampa,Weekly,"2019-06-02 00:00:00","Conventional ",1.230000000,542686.81,196678.99,14222.80,3187.01,328598.01,133765.26,194779.42,53.33
"Total U.S.",Weekly,"2019-06-02 00:00:00","Conventional ",1.230000000,43111485.93,11420785.75,11004956.59,1002653.78,19683089.81,11094953.78,7743206.20,844929.83
West,Weekly,"2019-06-02 00:00:00","Conventional ",1.120000000,7840239.84,1684888.60,1761628.92,120759.05,4272963.27,1464014.10,2772506.94,36442.23
"West Tex/New Mexico",Weekly,"2019-06-02 00:00:00","Conventional ",1.080000000,967866.85,440303.74,104899.96,69458.32,353204.83,217252.01,131810.91,4141.91
Albany,Weekly,"2019-06-02 00:00:00",Organic,1.880000000,2439.54,104.12,509.59,0.00,1825.83,1825.83,0.00,0.00
Atlanta,Weekly,"2019-06-02 00:00:00",Organic,1.240000000,33619.08,289.54,3800.46,0.00,29529.08,22755.71,6773.37,0.00
Baltimore/Washington,Weekly,"2019-06-02 00:00:00",Organic,1.680000000,37911.39,226.68,5429.33,15.33,32240.05,27476.41,4763.64,0.00
Boise,Weekly,"2019-06-02 00:00:00",Organic,1.990000000,3641.36,9.07,1312.13,0.00,2320.16,1020.00,1300.16,0.00
Boston,Weekly,"2019-06-02 00:00:00",Organic,1.890000000,27803.83,59.58,2435.40,0.00,25308.85,13565.26,11743.59,0.00
Buffalo/Rochester,Weekly,"2019-06-02 00:00:00",Organic,1.570000000,4140.83,395.60,160.35,0.00,3584.88,3545.72,39.16,0.00
California,Weekly,"2019-06-02 00:00:00",Organic,2.150000000,177043.33,36192.97,69983.64,0.00,70866.72,70755.11,111.61,0.00
Charlotte,Weekly,"2019-06-02 00:00:00",Organic,1.880000000,15536.78,58.75,5195.04,48.11,10234.88,10234.88,0.00,0.00
Chicago,Weekly,"2019-06-02 00:00:00",Organic,1.840000000,41705.34,365.44,5502.81,0.00,35837.09,20647.35,15189.74,0.00
Cincinnati/Dayton,Weekly,"2019-06-02 00:00:00",Organic,1.280000000,25652.69,137.40,2686.38,0.00,22828.91,15471.07,7357.84,0.00
Columbus,Weekly,"2019-06-02 00:00:00",Organic,0.920000000,35209.45,473.73,1288.38,0.00,33447.34,31427.88,2019.46,0.00
"Dallas/Ft. Worth",Weekly,"2019-06-02 00:00:00",Organic,1.330000000,27222.80,5081.52,838.90,577.37,20725.01,15991.68,4733.33,0.00
Denver,Weekly,"2019-06-02 00:00:00",Organic,1.470000000,31348.19,6858.34,1884.51,10.27,22595.07,11646.93,10948.14,0.00
Detroit,Weekly,"2019-06-02 00:00:00",Organic,1.240000000,27687.20,414.87,2898.40,0.00,24347.63,20722.86,3624.77,0.00
"Grand Rapids",Weekly,"2019-06-02 00:00:00",Organic,1.470000000,10253.38,13.22,1973.10,0.00,8267.06,8260.53,6.53,0.00
"Great Lakes",Weekly,"2019-06-02 00:00:00",Organic,1.260000000,295013.05,3737.23,23752.59,0.00,267342.37,223318.77,44023.60,0.00
Harrisburg/Scranton,Weekly,"2019-06-02 00:00:00",Organic,1.510000000,12583.43,191.82,359.10,0.00,12032.51,9407.97,2624.54,0.00
Hartford/Springfield,Weekly,"2019-06-02 00:00:00",Organic,2.350000000,12684.96,453.08,6116.23,0.00,6115.65,6062.46,53.19,0.00
Houston,Weekly,"2019-06-02 00:00:00",Organic,1.600000000,34472.84,14286.49,175.77,0.00,20010.58,19750.58,260.00,0.00
Indianapolis,Weekly,"2019-06-02 00:00:00",Organic,1.070000000,21997.20,169.15,1134.89,0.00,20693.16,18371.13,2322.03,0.00
Jacksonville,Weekly,"2019-06-02 00:00:00",Organic,1.700000000,1618.92,51.70,226.11,0.00,1341.11,1341.11,0.00,0.00
"Las Vegas",Weekly,"2019-06-02 00:00:00",Organic,1.640000000,12601.35,1633.34,1701.90,0.00,9266.11,9222.79,43.32,0.00
"Los Angeles",Weekly,"2019-06-02 00:00:00",Organic,2.040000000,83888.12,12823.82,32133.54,0.00,38930.76,38844.87,85.89,0.00
Louisville,Weekly,"2019-06-02 00:00:00",Organic,1.100000000,8289.13,0.00,840.61,0.00,7448.52,5402.13,2046.39,0.00
"Miami/Ft. Lauderdale",Weekly,"2019-06-02 00:00:00",Organic,1.240000000,3432.57,531.12,1.00,0.00,2900.45,2900.45,0.00,0.00
Midsouth,Weekly,"2019-06-02 00:00:00",Organic,1.510000000,213272.83,990.38,34004.32,236.37,178041.76,152649.12,25392.64,0.00
Nashville,Weekly,"2019-06-02 00:00:00",Organic,1.240000000,15682.32,63.02,1257.70,0.00,14361.60,9812.74,4548.86,0.00
"New Orleans/Mobile",Weekly,"2019-06-02 00:00:00",Organic,1.050000000,8721.87,682.06,0.00,0.00,8039.81,7863.34,176.47,0.00
"New York",Weekly,"2019-06-02 00:00:00",Organic,2.050000000,85755.33,17958.36,17493.38,36.51,50267.08,45330.78,4936.30,0.00
Northeast,Weekly,"2019-06-02 00:00:00",Organic,1.890000000,223381.31,25988.21,38497.97,31.74,158863.39,128296.62,30566.77,0.00
"Northern New England",Weekly,"2019-06-02 00:00:00",Organic,1.660000000,26824.38,350.95,5597.87,0.00,20875.56,13279.52,7596.04,0.00
Orlando,Weekly,"2019-06-02 00:00:00",Organic,1.140000000,2725.45,148.78,0.00,0.00,2576.67,2506.67,70.00,0.00
Philadelphia,Weekly,"2019-06-02 00:00:00",Organic,1.690000000,27220.31,3653.86,3687.67,0.00,19878.78,16701.22,3177.56,0.00
Phoenix/Tucson,Weekly,"2019-06-02 00:00:00",Organic,1.920000000,12579.29,1630.32,2822.70,0.00,8126.27,7517.23,609.04,0.00
Pittsburgh,Weekly,"2019-06-02 00:00:00",Organic,1.580000000,6126.05,1385.46,22.90,0.00,4717.69,4717.69,0.00,0.00
Plains,Weekly,"2019-06-02 00:00:00",Organic,1.240000000,116831.57,8316.44,6366.70,6.49,102141.94,91475.58,10666.36,0.00
Portland,Weekly,"2019-06-02 00:00:00",Organic,1.750000000,35843.62,608.63,7715.34,0.00,27519.65,2626.79,24879.85,13.01
Raleigh/Greensboro,Weekly,"2019-06-02 00:00:00",Organic,2.190000000,17016.74,82.19,5321.78,22.34,11590.43,11590.43,0.00,0.00
Richmond/Norfolk,Weekly,"2019-06-02 00:00:00",Organic,1.220000000,23887.78,24.25,2590.69,31.24,21241.60,18149.61,3091.99,0.00
Roanoke,Weekly,"2019-06-02 00:00:00",Organic,1.240000000,14670.78,48.33,1249.41,0.00,13373.04,10827.16,2545.88,0.00
Sacramento,Weekly,"2019-06-02 00:00:00",Organic,2.070000000,10041.23,2808.17,3186.68,0.00,4046.38,4046.38,0.00,0.00
"San Diego",Weekly,"2019-06-02 00:00:00",Organic,2.210000000,18712.57,2782.15,12055.01,0.00,3875.41,3858.74,16.67,0.00
"San Francisco",Weekly,"2019-06-02 00:00:00",Organic,2.360000000,31462.42,11657.88,8396.35,0.00,11408.19,11408.19,0.00,0.00
Seattle,Weekly,"2019-06-02 00:00:00",Organic,1.770000000,91575.56,840.71,22481.98,15.59,68237.28,4048.01,63864.50,324.77
"South Carolina",Weekly,"2019-06-02 00:00:00",Organic,1.680000000,16964.84,238.46,4039.09,12.85,12674.44,10219.89,2454.55,0.00
"South Central",Weekly,"2019-06-02 00:00:00",Organic,1.440000000,167169.88,33453.67,4516.88,3430.98,125768.35,111998.33,13770.02,0.00
Southeast,Weekly,"2019-06-02 00:00:00",Organic,1.310000000,99229.59,1941.29,12744.00,14.33,84529.97,69906.97,14623.00,0.00
Spokane,Weekly,"2019-06-02 00:00:00",Organic,1.730000000,5809.09,143.81,1795.61,0.00,3869.67,705.78,3040.62,123.27
