Geography,Timeframe,"Current Year Week Ending",Type,"ASP Current Year","Total Bulk and Bags Units","4046 Units","4225 Units","4770 Units","TotalBagged Units","SmlBagged Units","LrgBagged Units","X-LrgBagged Units"
"Grand Rapids",Weekly,"2017-05-21 00:00:00",Organic,2.340000000,1678.36,10.21,1091.48,0.00,576.67,576.67,0.00,0.00
"Great Lakes",Weekly,"2017-05-21 00:00:00",Organic,1.590000000,150790.27,3228.65,74837.07,0.00,72724.55,26525.38,46199.17,0.00
Harrisburg/Scranton,Weekly,"2017-05-21 00:00:00",Organic,2.180000000,8942.44,274.75,237.52,9.12,8421.05,8421.05,0.00,0.00
Hartford/Springfield,Weekly,"2017-05-21 00:00:00",Organic,2.620000000,12234.45,107.67,4361.38,12.42,7752.98,7752.98,0.00,0.00
Houston,Weekly,"2017-05-21 00:00:00",Organic,1.390000000,37108.49,10501.86,12.01,0.00,26594.62,26523.44,71.18,0.00
Indianapolis,Weekly,"2017-05-21 00:00:00",Organic,0.920000000,8759.49,76.82,1259.86,0.00,7422.81,2038.26,5384.55,0.00
Jacksonville,Weekly,"2017-05-21 00:00:00",Organic,2.070000000,5056.03,1260.80,146.98,8.72,3639.53,3252.01,387.52,0.00
"Las Vegas",Weekly,"2017-05-21 00:00:00",Organic,1.950000000,8671.15,2887.66,3339.62,0.00,2443.87,753.66,1690.21,0.00
"Los Angeles",Weekly,"2017-05-21 00:00:00",Organic,1.420000000,114120.43,10947.18,30522.45,0.00,72650.80,72518.58,132.22,0.00
Louisville,Weekly,"2017-05-21 00:00:00",Organic,1.290000000,4745.15,0.00,1200.84,0.00,3544.31,577.77,2966.54,0.00
"Miami/Ft. Lauderdale",Weekly,"2017-05-21 00:00:00",Organic,1.580000000,6177.03,515.52,81.14,0.00,5580.37,4806.82,773.55,0.00
Midsouth,Weekly,"2017-05-21 00:00:00",Organic,1.900000000,116849.77,3719.26,48346.59,1603.39,63180.53,35445.81,27734.72,0.00
Nashville,Weekly,"2017-05-21 00:00:00",Organic,1.200000000,9281.83,358.52,2467.74,0.00,6455.57,591.22,5864.35,0.00
"New Orleans/Mobile",Weekly,"2017-05-21 00:00:00",Organic,2.100000000,1834.44,536.85,23.86,0.00,1273.73,1094.78,178.95,0.00
"New York",Weekly,"2017-05-21 00:00:00",Organic,2.390000000,70663.57,6849.35,27571.04,1575.09,34668.09,34668.09,0.00,0.00
Northeast,Weekly,"2017-05-21 00:00:00",Organic,2.150000000,186553.95,10974.59,44591.68,1425.74,129561.94,120158.47,9403.47,0.00
"Northern New England",Weekly,"2017-05-21 00:00:00",Organic,1.590000000,20571.46,7.77,299.22,0.00,20264.47,20264.47,0.00,0.00
Orlando,Weekly,"2017-05-21 00:00:00",Organic,1.800000000,8800.59,1981.17,258.64,0.00,6560.78,5043.23,1517.55,0.00
Philadelphia,Weekly,"2017-05-21 00:00:00",Organic,2.250000000,16900.89,2303.24,7258.39,0.00,7339.26,7339.26,0.00,0.00
Phoenix/Tucson,Weekly,"2017-05-21 00:00:00",Organic,2.060000000,9126.20,4146.42,3679.99,0.00,1299.79,381.04,918.75,0.00
Pittsburgh,Weekly,"2017-05-21 00:00:00",Organic,1.520000000,2858.31,403.32,3.54,0.00,2451.45,2372.83,78.62,0.00
Plains,Weekly,"2017-05-21 00:00:00",Organic,1.570000000,85984.55,4614.96,33738.22,778.72,46852.65,22566.48,24286.17,0.00
Portland,Weekly,"2017-05-21 00:00:00",Organic,1.180000000,50366.31,6687.57,3688.01,8.42,39982.31,203.25,39779.06,0.00
Raleigh/Greensboro,Weekly,"2017-05-21 00:00:00",Organic,2.630000000,8322.80,311.21,5215.69,311.21,2484.69,2169.64,315.05,0.00
Richmond/Norfolk,Weekly,"2017-05-21 00:00:00",Organic,1.520000000,11063.56,536.61,4072.81,205.25,6248.89,3079.19,3169.70,0.00
